odtItemId,odtId,odtOrdenId,odtDescripcion,productoId,codigoInterno,nombre,cantidad,estado,obs
1198,2503,4644,OT #8497 — COMPRA AGIL - DESPACHO 10 DIAS HABILES -,62,MK-02,PISCINA SENSORIAL RECTANGULAR,1,Pendiente,
1199,2503,4644,OT #8497 — COMPRA AGIL - DESPACHO 10 DIAS HABILES -,1023,MK-61,VESTIBULADOR FLEXOR,1,Pendiente,
1200,2503,4644,OT #8497 — COMPRA AGIL - DESPACHO 10 DIAS HABILES -,1016,MK-59,VESTIBULADOR ROLLO COLUMPIO,1,Pendiente,
1203,2509,4648,OT #8507 — CREA SABANA BLANCA - DENSIDAD 18 KG/M3,170,MK-16,CIRCUITO TROPICO,1,Pendiente,
1204,2543,4652,OT #8591 — No hay,6161,MK-01D,PISCINA DE PELOTA MEDIA LUNA ,1,Pendiente,
1206,2572,4656,OT #8658 — No hay,1142,MK-01C,PISCINA SENSORIAL ESQUINERA,1,Pendiente,
1208,2545,4666,OT #8598 — No hay,116,MK-10,CENTRO DE ESTIMULACION MOTRIZ,1,Pendiente,"MÃ“DULOS QUE PERMITEN DESARROLLAR MÃšLTIPLES MOVIMIENTOSPSICOMOTRIZ, LIBERTAD Y CREATIVIDAD DE MOVIMIENTOS, COMO TAMBIÃ‰N ROLES ESPECÃFICOS DE TERAPIAS COMPLEJAS, ESTIMULACIÃ“N TEMPRANA DE GATEO Y CONCEPTOS BÃSICOSDIMENSIONES: CUADRADO 50*50*25 CM, ESCALA 50*50*25 CM, RAMPA 50*50*25 CM, RAMPA ONDULADA 50*50*25 CM, OLA 50*50*15 CM, PISCINA 50*12 CM"
1209,2569,4671,OT #8644 — No hay,11584,MK-99,GIMNASIO INTERACTIVO,1,Pendiente,
1210,2569,4671,OT #8644 — No hay,1023,MK-61,VESTIBULADOR FLEXOR,1,Pendiente,
1217,2569,4671,OT #8644 — No hay,1019,MK-60,VESTIBULADOR MUDADOR 90x60x10 CMS,1,Pendiente,
