decision_cliente,accion_requerida,codigo_normalizado,ejemplo_codigo_original,filas,pagos,cantidad_total,total_estimado,primera_fecha_doc,ultima_fecha_doc,muestras_pago_id,producto_destino_aprobado,comentario_cliente
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CERA,CERA,1,1,4,6400,2024-02-13 00:00:00,2024-02-13 00:00:00,11203,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CIERRENYLONN5,CIERRENYLONN5,1,1,720,51840,2020-08-11 00:00:00,2020-08-11 00:00:00,3954,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CINT20FALLNERR,CINT20FALLNERR,1,1,2,7400,2021-05-03 00:00:00,2021-05-03 00:00:00,4968,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CINT25POLIROJO,CINT25POLIROJO,1,1,3,19200,2021-03-29 00:00:00,2021-03-29 00:00:00,4833,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CINTAEMBALAJE,CINTAEMBALAJE,1,1,1,420,2021-11-22 00:00:00,2021-11-22 00:00:00,5887,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CINTASATIN,CINTASATIN,1,1,20,51800,2024-06-24 00:00:00,2024-06-24 00:00:00,12124,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COBE450G00LILAR,COBE450G00LILAR,1,1,4,478000,2021-05-31 00:00:00,2021-05-31 00:00:00,5070,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COBE450G00ROJOR,COBE450G00ROJOR,1,1,5,597500,2021-05-31 00:00:00,2021-05-31 00:00:00,5070,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COBE450G00VPASR,COBE450G00VPASR,1,1,1,119500,2021-05-31 00:00:00,2021-05-31 00:00:00,5070,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COBE650GUVAZLIR,COBE650GUVAZLIR,1,1,3,382800,2021-06-04 00:00:00,2021-06-04 00:00:00,5100,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COBE650GUVROJOR,COBE650GUVROJOR,1,1,3,382800,2021-06-04 00:00:00,2021-06-04 00:00:00,5100,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CONECTOR,CONECTOR,1,1,1,16639,2024-03-11 00:00:00,2024-03-11 00:00:00,11091,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COR320,COR320,1,1,20,6720,2024-07-25 00:00:00,2024-07-25 00:00:00,11832,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COR326,COR326,1,1,30,14370,2024-11-14 00:00:00,2024-11-14 00:00:00,12695,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CORALSHERPA,CORALSHERPA,1,1,2.9,11571,2020-09-22 00:00:00,2020-09-22 00:00:00,4077,"",""
